	gender	age	annual_income	hobby	bought_product_category
0	1	66	1110	0	3
1	1	40	200	6	4
2	0	24	800	7	5
3	0	52	940	0	6
4	0	37	920	0	3
5	0	29	1080	8	0
6	0	64	1030	9	6
7	0	29	1050	4	3
8	1	35	650	2	4
9	0	55	750	4	4
10	1	59	520	4	4
11	1	22	1170	7	3
12	0	54	250	2	4
13	0	52	990	6	3
14	0	71	720	4	5
15	0	23	640	8	0
16	1	86	1070	5	0
17	1	82	1020	0	3
18	1	36	960	4	2
19	0	52	1050	8	2
20	0	43	650	0	6
21	1	82	670	0	2
22	0	66	1490	8	6
23	1	48	1400	5	4
24	1	21	1200	5	0
25	0	22	1200	1	3
26	1	57	1430	7	2
27	0	47	1390	5	4
28	0	72	730	2	5
29	0	28	1120	5	3
30	0	62	1350	3	5
31	1	76	720	6	1
32	1	77	350	7	3
33	0	37	720	1	3
34	1	42	1310	6	5
35	0	57	610	2	5
36	1	72	970	1	4
37	1	53	1120	7	6
38	0	38	1220	9	6
39	1	77	890	2	4
40	1	88	860	4	4
41	1	48	230	3	4
42	0	44	300	9	7
43	1	26	290	9	2
44	1	56	1240	3	6
45	1	67	440	2	4
46	1	78	230	0	4
47	1	55	270	6	7
48	1	38	250	3	1
49	0	43	1060	1	3
50	0	89	290	3	6
51	1	37	750	2	7
52	1	81	920	9	2
53	1	27	1400	1	6
54	1	39	1470	6	6
55	1	63	610	0	1
56	0	34	1170	8	0
57	1	29	440	6	4
58	1	60	620	6	4
59	0	53	770	8	6
60	1	43	1320	7	4
61	1	77	360	3	6
62	1	70	1130	0	6
63	0	33	900	1	3
64	1	48	1400	8	3
65	1	40	1260	7	2
66	1	58	680	7	5
67	1	56	240	6	5
68	0	44	1070	6	4
69	1	69	950	9	3
70	1	79	900	0	3
71	0	71	250	4	3
72	1	27	230	7	5
73	1	33	750	9	6
74	0	56	150	2	5
75	0	86	360	5	7
76	1	28	510	9	4
77	1	38	420	0	1
78	0	58	1130	2	5
79	0	60	160	8	2
80	0	48	1170	7	3
81	0	62	1030	4	6
82	1	74	650	7	4
83	1	37	910	9	7
84	1	86	910	1	3
85	1	70	670	3	1
86	1	23	200	5	0
87	0	26	1440	5	7
88	1	50	660	2	3
89	0	24	750	5	0
90	0	24	1390	6	0
91	1	70	1320	5	3
92	1	76	1450	4	5
93	1	82	770	1	0
94	1	19	1010	7	1
95	0	29	550	4	6
96	1	28	570	9	5
97	0	41	970	0	6
98	1	19	1380	5	1
99	0	24	560	3	6
100	0	22	1170	4	6
101	1	42	250	0	4
102	0	23	300	4	6
103	1	19	780	9	7
104	1	85	1290	4	4
105	0	76	720	3	3
106	1	75	1190	6	3
107	0	41	1180	1	0
108	0	37	260	8	5
109	0	61	1450	2	5
110	0	77	1420	6	4
111	1	30	800	9	6
112	0	23	660	8	3
113	1	54	990	2	5
114	1	18	1170	1	6
115	1	58	1100	5	5
116	1	18	350	7	1
117	0	30	400	8	4
118	0	56	390	7	5
119	0	70	460	8	2
120	1	89	1010	7	5
121	1	63	720	6	4
122	1	51	970	8	4
123	0	22	960	9	3
124	0	36	1070	4	6
125	0	74	460	0	6
126	1	83	1190	7	1
127	1	59	1300	6	2
128	0	57	1120	7	0
129	0	71	580	0	3
130	1	52	1440	2	2
131	0	47	950	5	7
132	1	65	1030	5	3
133	0	87	220	6	5
134	0	56	370	8	2
135	0	18	1240	0	0
136	1	36	680	1	3
137	1	59	450	2	5
138	1	29	900	2	2
139	0	41	520	4	5
140	1	30	940	3	3
141	1	65	1240	5	2
142	0	46	1480	0	6
143	1	59	380	9	7
144	1	86	280	1	1
145	1	81	390	1	2
146	1	41	1300	8	3
147	0	31	470	9	5
148	0	29	460	1	4
149	1	63	220	1	1
150	1	73	320	1	4
151	0	38	400	4	0
152	0	74	850	8	0
153	0	40	890	1	3
154	1	58	770	0	4
155	1	49	720	7	5
156	1	35	410	0	4
157	1	35	440	1	4
158	0	45	1230	4	5
159	0	63	590	3	3
160	0	34	850	1	3
161	1	67	1390	9	2
162	0	78	1410	4	6
163	0	29	460	7	0
164	1	59	1340	3	6
165	0	43	950	7	4
166	0	80	200	0	0
167	1	65	400	7	1
168	0	30	1100	4	0
169	1	28	660	6	1
170	0	32	630	5	0
171	0	77	440	1	0
172	0	53	570	6	6
173	1	66	530	0	0
174	0	30	940	6	2
175	0	19	370	8	1
176	0	43	1050	0	6
177	1	54	310	7	2
178	1	67	650	4	6
179	1	23	310	9	2
180	0	58	1410	3	5
181	1	53	1440	8	1
182	0	81	900	9	7
183	0	83	500	1	4
184	0	21	1020	0	5
185	0	71	930	0	5
186	0	88	890	6	4
187	1	83	260	1	0
188	1	83	570	4	5
189	0	35	790	1	5
190	0	70	290	4	2
191	0	59	1080	3	6
192	1	26	1160	5	0
193	0	61	820	4	6
194	0	74	1120	4	3
195	1	57	680	4	6
196	1	68	1200	3	6
197	1	75	1220	3	6
198	1	76	960	8	4
199	1	62	1270	3	6
200	0	21	1480	9	5
201	0	59	680	9	1
202	0	48	970	7	4
203	0	81	1340	3	6
204	0	64	910	2	6
205	1	55	1050	4	6
206	0	73	240	8	1
207	1	75	330	7	5
208	0	28	550	7	7
209	0	67	450	3	6
210	1	79	1020	2	3
211	1	86	920	5	0
212	1	57	1110	9	7
213	0	57	210	9	4
214	0	41	1030	0	4
215	1	71	1260	9	6
216	1	34	1400	4	6
217	0	60	1360	3	0
218	1	68	390	6	5
219	0	89	950	9	6
220	1	74	870	1	4
221	1	46	880	6	0
222	1	40	210	4	0
223	0	68	260	2	6
224	1	84	520	9	4
225	0	37	1110	6	4
226	0	58	210	4	0
227	0	79	820	8	1
228	1	72	520	1	4
229	1	62	1370	2	3
230	0	22	350	5	0
231	0	75	620	4	6
232	0	78	300	4	6
233	0	44	690	5	0
234	1	41	1300	8	2
235	0	31	1370	5	6
236	1	69	1180	9	3
237	0	86	830	0	3
238	0	39	170	0	2
239	1	35	800	9	0
240	0	45	670	2	6
241	1	74	890	0	5
242	0	54	1350	0	3
243	1	36	1130	3	6
244	1	51	950	3	6
245	1	85	310	7	4
246	0	69	1250	6	4
247	1	51	820	2	0
248	1	82	820	5	6
249	1	25	450	5	0
250	1	65	210	3	7
