year	month	day	rock	scissors	paper
1991	10	20	1	0	0
1991	10	27	0	1	0
1991	11	03	0	0	1
1991	11	10	0	1	0
1991	11	17	1	0	0
1991	11	24	1	0	0
1991	12	01	0	0	1
1991	12	08	0	1	0
1991	12	15	1	0	0
1991	12	22	0	0	1
1991	12	29	1	0	0
1992	01	05	0	1	0
1992	01	12	0	0	1
1992	01	19	1	0	0
1992	01	26	0	1	0
1992	02	02	0	1	0
1992	02	09	0	0	1
1992	02	16	1	0	0
1992	02	23	0	1	0
1992	03	01	0	0	1
1992	03	08	1	0	0
1992	03	15	0	1	0
1992	03	22	0	0	1
1992	03	29	1	0	0
1992	04	05	1	0	0
1992	04	12	0	1	0
1992	04	19	0	0	1
1992	04	26	1	0	0
1992	05	03	0	0	1
1992	05	10	0	1	0
1992	05	17	1	0	0
1992	05	24	0	1	0
1992	05	31	0	0	1
1992	06	07	1	0	0
1992	06	14	1	0	0
1992	06	21	0	0	1
1992	06	28	0	0	1
1992	07	05	1	0	0
1992	07	12	0	1	0
1992	07	19	0	0	1
1992	07	26	1	0	0
1992	08	02	0	1	0
1992	08	09	1	0	0
1992	08	16	0	0	1
1992	08	23	0	0	1
1992	08	30	0	1	0
1992	09	06	0	1	0
1992	09	13	1	0	0
1992	09	20	0	0	1
1992	09	27	0	1	0
1992	10	04	1	0	0
1992	10	11	0	1	0
1992	10	18	0	1	0
1992	10	25	0	0	1
1992	11	01	1	0	0
1992	11	08	0	0	1
1992	11	15	0	0	1
1992	11	22	0	1	0
1992	11	29	1	0	0
1992	12	06	0	0	1
1992	12	13	1	0	0
1992	12	20	0	1	0
1992	12	27	1	0	0
1993	01	03	0	0	1
1993	01	10	0	0	1
1993	01	17	1	0	0
1993	01	24	0	1	0
1993	01	31	1	0	0
1993	02	07	0	1	0
1993	02	14	1	0	0
1993	02	21	0	0	1
1993	02	28	1	0	0
1993	03	07	1	0	0
1993	03	14	0	1	0
1993	03	21	0	0	1
1993	03	28	0	1	0
1993	04	04	0	0	1
1993	04	11	0	0	1
1993	04	18	1	0	0
1993	04	25	0	1	0
1993	05	02	1	0	0
1993	05	09	0	1	0
1993	05	16	0	1	0
1993	05	23	0	0	1
1993	05	30	0	0	1
1993	06	06	0	1	0
1993	06	13	1	0	0
1993	06	20	1	0	0
1993	06	27	1	0	0
1993	07	04	1	0	0
1993	07	11	0	1	0
1993	07	18	0	0	1
1993	07	25	0	0	0
1993	08	01	1	0	0
1993	08	08	0	1	0
1993	08	15	1	0	0
1993	08	22	0	0	1
1993	08	29	0	1	0
1993	09	05	0	1	0
1993	09	12	0	0	1
1993	09	19	1	0	0
1993	09	26	1	0	0
1993	10	03	0	1	0
1993	10	10	0	0	1
1993	10	17	1	0	0
1993	10	24	1	0	0
1993	10	31	0	0	1
1993	11	07	0	1	0
1993	11	14	0	1	0
1993	11	21	0	0	1
1993	11	28	1	0	0
1993	12	05	0	0	1
1993	12	12	0	1	0
1993	12	19	1	0	0
1993	12	26	1	0	0
1994	01	02	0	0	1
1994	01	09	1	0	0
1994	01	16	0	1	0
1994	01	23	1	0	0
1994	01	30	0	1	0
1994	02	06	0	0	1
1994	02	13	0	0	1
1994	02	20	0	1	0
1994	02	27	1	0	0
1994	03	06	1	0	0
1994	03	13	0	0	1
1994	03	20	0	0	1
1994	03	27	0	1	0
1994	04	03	0	1	0
1994	04	10	0	0	1
1994	04	17	1	0	0
1994	04	24	0	1	0
1994	05	01	1	0	0
1994	05	08	0	0	1
1994	05	15	0	0	1
1994	05	22	0	1	0
1994	05	29	1	0	0
1994	06	05	0	1	0
1994	06	12	0	0	1
1994	06	19	0	1	0
1994	06	26	1	0	0
1994	07	03	0	0	1
1994	07	10	0	1	0
1994	07	17	0	1	0
1994	07	24	0	0	0
1994	07	31	0	0	1
1994	08	07	1	0	0
1994	08	14	1	0	0
1994	08	21	0	1	0
1994	08	28	0	0	1
1994	09	04	1	0	0
1994	09	11	0	0	1
1994	09	18	0	1	0
1994	09	25	1	0	0
1994	10	02	1	0	0
1994	10	09	0	0	1
1994	10	23	0	0	1
1994	10	30	0	1	0
1994	11	06	1	0	0
1994	11	13	0	1	0
1994	11	20	0	0	1
1994	11	27	0	1	0
1994	12	04	1	0	0
1994	12	11	0	0	1
1994	12	18	1	0	0
1994	12	25	0	0	1
1995	01	01	0	0	0
1995	01	08	0	1	0
1995	01	15	1	0	0
1995	01	22	0	0	1
1995	01	29	1	0	0
1995	02	05	0	1	0
1995	02	12	0	1	0
1995	02	19	0	0	1
1995	02	26	0	1	0
1995	03	05	1	0	0
1995	03	12	0	0	1
1995	03	19	0	0	1
1995	03	26	0	1	0
1995	04	02	1	0	0
1995	04	09	0	0	1
1995	04	16	0	1	0
1995	04	23	1	0	0
1995	04	30	0	1	0
1995	05	07	0	0	1
1995	05	14	0	0	1
1995	05	21	0	1	0
1995	05	28	1	0	0
1995	06	04	1	0	0
1995	06	11	0	1	0
1995	06	18	0	0	1
1995	06	25	0	1	0
1995	07	02	1	0	0
1995	07	09	0	0	1
1995	07	16	0	0	1
1995	07	23	1	0	0
1995	07	30	0	1	0
1995	08	06	0	1	0
1995	08	13	1	0	0
1995	08	20	0	0	1
1995	08	27	0	1	0
1995	09	03	0	0	1
1995	09	10	0	0	1
1995	09	17	1	0	0
1995	09	24	0	1	0
1995	10	01	0	1	0
1995	10	08	0	0	1
1995	10	15	1	0	0
1995	10	22	1	0	0
1995	10	29	0	0	1
1995	11	05	0	1	0
1995	11	12	0	0	1
1995	11	19	1	0	0
1995	11	26	0	1	0
1995	12	03	0	1	0
1995	12	10	1	0	0
